PROBEID	SYMBOL	GENENAME
215504_x_at	ANKRD10-IT1	ANKRD10 intronic transcript 1
206551_x_at	KLHL24	kelch like family member 24
208602_x_at	CD6	CD6 molecule
214656_x_at	MYO1C	myosin IC
204255_s_at	VDR	vitamin D receptor
220575_at	FAM106A	family with sequence similarity 106 member A
205998_x_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4
207953_at	NA	NA
206186_at	MPP3	membrane palmitoylated protein 3
206807_s_at	ADD2	adducin 2
215067_x_at	PRDX2	peroxiredoxin 2
206160_at	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2
203949_at	MPO	myeloperoxidase
215588_x_at	RIOK3	RIO kinase 3
207146_at	KRT32	keratin 32
213125_at	OLFML2B	olfactomedin like 2B
213544_at	ING2	inhibitor of growth family member 2
217703_x_at	NA	NA
215529_x_at	DIP2A	disco interacting protein 2 homolog A
217713_x_at	NA	NA
207730_x_at	NA	NA
210880_s_at	EFS	embryonal Fyn-associated substrate
215861_at	LOC101927770	uncharacterized LOC101927770
211446_at	RGSL1	regulator of G protein signaling like 1
218155_x_at	TSR1	TSR1, ribosome maturation factor
206403_at	ZNF536	zinc finger protein 536
219678_x_at	DCLRE1C	DNA cross-link repair 1C
212358_at	CLIP3	CAP-Gly domain containing linker protein 3
220712_at	NA	NA
208082_x_at	NA	NA
202627_s_at	SERPINE1	serpin family E member 1
205502_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1
204387_x_at	MRPL57	mitochondrial ribosomal protein L57
206672_at	AQP2	aquaporin 2
208366_at	PCDH11X	protocadherin 11 X-linked
216172_at	NA	NA
217619_x_at	NA	NA
214902_x_at	LPP	LIM domain containing preferred translocation partner in lipoma
215208_x_at	RPL35A	ribosomal protein L35a
206733_at	TULP2	tubby like protein 2
210280_at	MPZ	myelin protein zero
213138_at	ARID5A	AT-rich interaction domain 5A
216451_at	STK38	serine/threonine kinase 38
204138_s_at	MZF1	myeloid zinc finger 1
215179_x_at	PGF	placental growth factor
201815_s_at	TBC1D5	TBC1 domain family member 5
201958_s_at	PPP1R12B	protein phosphatase 1 regulatory subunit 12B
214707_x_at	ALMS1	ALMS1, centrosome and basal body associated protein
205567_at	CHST1	carbohydrate sulfotransferase 1
206388_at	PDE3A	phosphodiesterase 3A
213428_s_at	COL6A1	collagen type VI alpha 1 chain
215961_at	GRK6	G protein-coupled receptor kinase 6
215961_at	F12	coagulation factor XII
216858_x_at	NA	NA
220352_x_at	FLJ42627	uncharacterized LOC645644
205137_x_at	USH1C	USH1 protein network component harmonin
207774_at	ATG10	autophagy related 10
32811_at	MYO1C	myosin IC
204684_at	NPTX1	neuronal pentraxin 1
207436_x_at	SORBS1	sorbin and SH3 domain containing 1
215609_at	NA	NA
216750_at	APBB2	amyloid beta precursor protein binding family B member 2
201109_s_at	THBS1	thrombospondin 1
205777_at	DUSP9	dual specificity phosphatase 9
206597_at	NRL	neural retina leucine zipper
207115_x_at	MBTD1	mbt domain containing 1
207524_at	ST7	suppression of tumorigenicity 7
207524_at	ST7-OT3	ST7 overlapping transcript 3
207524_at	MIR6132	microRNA 6132
208246_x_at	NA	NA
211186_s_at	AAK1	AP2 associated kinase 1
214799_at	NFASC	neurofascin
215505_s_at	STRN3	striatin 3
216669_at	PDSS2	decaprenyl diphosphate synthase subunit 2
216871_at	ZDHHC17	zinc finger DHHC-type containing 17
219091_s_at	MMRN2	multimerin 2
220040_x_at	ZC4H2	zinc finger C4H2-type containing
220671_at	NOCT	nocturnin
220918_at	RUNX1-IT1	RUNX1 intronic transcript 1
201615_x_at	CALD1	caldesmon 1
205100_at	GFPT2	glutamine-fructose-6-phosphate transaminase 2
206681_x_at	GP2	glycoprotein 2
207310_s_at	NOS1	nitric oxide synthase 1
207366_at	KCNS1	potassium voltage-gated channel modifier subfamily S member 1
207533_at	CCL1	C-C motif chemokine ligand 1
207693_at	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4
211205_x_at	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
213439_x_at	RUNDC3A	RUN domain containing 3A
215604_x_at	NA	NA
217560_at	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1
221378_at	CER1	cerberus 1, DAN family BMP antagonist
222301_at	C1orf61	chromosome 1 open reading frame 61
203904_x_at	CD82	CD82 molecule
205981_s_at	ING2	inhibitor of growth family member 2
202936_s_at	SOX9	SRY-box 9
219253_at	TMEM185B	transmembrane protein 185B
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
201735_s_at	CLCN3	chloride voltage-gated channel 3
207088_s_at	SLC25A11	solute carrier family 25 member 11
208944_at	TGFBR2	transforming growth factor beta receptor 2
