PROBEID	SYMBOL	GENENAME
205981_s_at	ING2	inhibitor of growth family member 2
202936_s_at	SOX9	SRY-box 9
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
219253_at	TMEM185B	transmembrane protein 185B
201636_at	FXR1	FMR1 autosomal homolog 1
201735_s_at	CLCN3	chloride voltage-gated channel 3
207088_s_at	SLC25A11	solute carrier family 25 member 11
201911_s_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
202753_at	PSMD6	proteasome 26S subunit, non-ATPase 6
201609_x_at	ICMT	isoprenylcysteine carboxyl methyltransferase
208944_at	TGFBR2	transforming growth factor beta receptor 2
219013_at	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
200955_at	IMMT	inner membrane mitochondrial protein
202475_at	TMEM147	transmembrane protein 147
209256_s_at	KLHDC10	kelch domain containing 10
207233_s_at	MITF	melanogenesis associated transcription factor
206302_s_at	NUDT4	nudix hydrolase 4
206302_s_at	NUDT4P2	nudix hydrolase 4 pseudogene 2
206302_s_at	NUDT4B	nudix hydrolase 4B
200622_x_at	CALM3	calmodulin 3
200622_x_at	CALM1	calmodulin 1
200622_x_at	CALM2	calmodulin 2
201043_s_at	ANP32A	acidic nuclear phosphoprotein 32 family member A
209572_s_at	EED	embryonic ectoderm development
202733_at	P4HA2	prolyl 4-hydroxylase subunit alpha 2
204297_at	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3
203776_at	GPKOW	G-patch domain and KOW motifs
201729_s_at	KIAA0100	KIAA0100
209837_at	AP4M1	adaptor related protein complex 4 mu 1 subunit
201804_x_at	TBCB	tubulin folding cofactor B
209452_s_at	VTI1B	vesicle transport through interaction with t-SNAREs 1B
203827_at	WIPI1	WD repeat domain, phosphoinositide interacting 1
208579_x_at	H2BFS	H2B histone family member S
209180_at	RABGGTB	Rab geranylgeranyltransferase beta subunit
205219_s_at	GALK2	galactokinase 2
217907_at	MRPL18	mitochondrial ribosomal protein L18
201241_at	DDX1	DEAD-box helicase 1
206860_s_at	MIOS	meiosis regulator for oocyte development
214130_s_at	PDE4DIP	phosphodiesterase 4D interacting protein
214130_s_at	LOC100996724	phosphodiesterase 4D interacting protein-like
215504_x_at	ANKRD10-IT1	ANKRD10 intronic transcript 1
206551_x_at	KLHL24	kelch like family member 24
214656_x_at	MYO1C	myosin IC
204255_s_at	VDR	vitamin D receptor
208602_x_at	CD6	CD6 molecule
207953_at	NA	NA
220575_at	FAM106A	family with sequence similarity 106 member A
215067_x_at	PRDX2	peroxiredoxin 2
205998_x_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4
206186_at	MPP3	membrane palmitoylated protein 3
206807_s_at	ADD2	adducin 2
207146_at	KRT32	keratin 32
215588_x_at	RIOK3	RIO kinase 3
217713_x_at	NA	NA
213125_at	OLFML2B	olfactomedin like 2B
217703_x_at	NA	NA
218155_x_at	TSR1	TSR1, ribosome maturation factor
213544_at	ING2	inhibitor of growth family member 2
215529_x_at	DIP2A	disco interacting protein 2 homolog A
211446_at	RGSL1	regulator of G protein signaling like 1
203949_at	MPO	myeloperoxidase
215861_at	LOC101927770	uncharacterized LOC101927770
210880_s_at	EFS	embryonal Fyn-associated substrate
219678_x_at	DCLRE1C	DNA cross-link repair 1C
206160_at	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2
204387_x_at	MRPL57	mitochondrial ribosomal protein L57
207730_x_at	NA	NA
214902_x_at	LPP	LIM domain containing preferred translocation partner in lipoma
208246_x_at	NA	NA
217619_x_at	NA	NA
220352_x_at	FLJ42627	uncharacterized LOC645644
212358_at	CLIP3	CAP-Gly domain containing linker protein 3
206672_at	AQP2	aquaporin 2
206403_at	ZNF536	zinc finger protein 536
215179_x_at	PGF	placental growth factor
