PROBEID	SYMBOL	GENENAME
215504_x_at	ANKRD10-IT1	ANKRD10 intronic transcript 1
214656_x_at	MYO1C	myosin IC
206551_x_at	KLHL24	kelch like family member 24
208602_x_at	CD6	CD6 molecule
220575_at	FAM106A	family with sequence similarity 106 member A
217703_x_at	NA	NA
205998_x_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4
207953_at	NA	NA
215067_x_at	PRDX2	peroxiredoxin 2
217713_x_at	NA	NA
206186_at	MPP3	membrane palmitoylated protein 3
204255_s_at	VDR	vitamin D receptor
206807_s_at	ADD2	adducin 2
215588_x_at	RIOK3	RIO kinase 3
218155_x_at	TSR1	TSR1, ribosome maturation factor
215529_x_at	DIP2A	disco interacting protein 2 homolog A
219678_x_at	DCLRE1C	DNA cross-link repair 1C
211446_at	RGSL1	regulator of G protein signaling like 1
213544_at	ING2	inhibitor of growth family member 2
206160_at	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2
220352_x_at	FLJ42627	uncharacterized LOC645644
207146_at	KRT32	keratin 32
217619_x_at	NA	NA
213125_at	OLFML2B	olfactomedin like 2B
215861_at	LOC101927770	uncharacterized LOC101927770
203949_at	MPO	myeloperoxidase
210880_s_at	EFS	embryonal Fyn-associated substrate
216858_x_at	NA	NA
215179_x_at	PGF	placental growth factor
216451_at	STK38	serine/threonine kinase 38
220712_at	NA	NA
207730_x_at	NA	NA
216172_at	NA	NA
214902_x_at	LPP	LIM domain containing preferred translocation partner in lipoma
215961_at	GRK6	G protein-coupled receptor kinase 6
215961_at	F12	coagulation factor XII
212358_at	CLIP3	CAP-Gly domain containing linker protein 3
215208_x_at	RPL35A	ribosomal protein L35a
219392_x_at	PRR11	proline rich 11
222252_x_at	UBQLN4	ubiquilin 4
216745_x_at	NA	NA
215383_x_at	SPG21	SPG21, maspardin
208246_x_at	NA	NA
221914_at	SYN1	synapsin I
205502_at	CYP17A1	cytochrome P450 family 17 subfamily A member 1
215604_x_at	NA	NA
216524_x_at	NA	NA
220918_at	RUNX1-IT1	RUNX1 intronic transcript 1
208082_x_at	NA	NA
211186_s_at	AAK1	AP2 associated kinase 1
215609_at	NA	NA
204387_x_at	MRPL57	mitochondrial ribosomal protein L57
206672_at	AQP2	aquaporin 2
208366_at	PCDH11X	protocadherin 11 X-linked
220796_x_at	SLC35E1	solute carrier family 35 member E1
206403_at	ZNF536	zinc finger protein 536
216750_at	APBB2	amyloid beta precursor protein binding family B member 2
214707_x_at	ALMS1	ALMS1, centrosome and basal body associated protein
32811_at	MYO1C	myosin IC
216669_at	PDSS2	decaprenyl diphosphate synthase subunit 2
220040_x_at	ZC4H2	zinc finger C4H2-type containing
210280_at	MPZ	myelin protein zero
213428_s_at	COL6A1	collagen type VI alpha 1 chain
221378_at	CER1	cerberus 1, DAN family BMP antagonist
220071_x_at	HAUS2	HAUS augmin like complex subunit 2
216871_at	ZDHHC17	zinc finger DHHC-type containing 17
205981_s_at	ING2	inhibitor of growth family member 2
202936_s_at	SOX9	SRY-box 9
219253_at	TMEM185B	transmembrane protein 185B
201636_at	FXR1	FMR1 autosomal homolog 1
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
208944_at	TGFBR2	transforming growth factor beta receptor 2
207088_s_at	SLC25A11	solute carrier family 25 member 11
201735_s_at	CLCN3	chloride voltage-gated channel 3
201911_s_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
209256_s_at	KLHDC10	kelch domain containing 10
202753_at	PSMD6	proteasome 26S subunit, non-ATPase 6
209572_s_at	EED	embryonic ectoderm development
219013_at	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11
200955_at	IMMT	inner membrane mitochondrial protein
206302_s_at	NUDT4	nudix hydrolase 4
206302_s_at	NUDT4P2	nudix hydrolase 4 pseudogene 2
